,Especialidad,Genero,Edad,Grado,Frecuencia_Uso_Dispositivos,Redes_Sociales_Diario,Tiempo_Redes_Sociales,Conocimiento_Huella_Carbono,Impacto_Uso_Dispositivos,Apagar_Dispositivos,Enviar_Correos_Pesados,Imprimir_Grandes_Documentos,Comprimir_Archivos,Reducir_Redes_Sociales,Impacto_CO2_Stickers_Gifs,Reducir_Stickers_Gifs,Aprendizaje_Sostenibilidad_TIC,Acciones_Reducir_Huella,Compartir_Conocimiento_Sostenibilidad,Conciencia_Ambiental
66,economía,femenino,mas de 31,grado en ciencias políticas y de la administración,algunas horas al día,algunas horas al día,menos de 1 hora,sí,"sí, ocasionalmente lo considero.",ocasionalmente.,ocasionalmente.,la mayoría de las veces.,nunca.,"sí, pero me resulta difícil.","sí, me sorprende.","no, prefiero seguir usándolos.","sí, definitivamente.",subir menos contenido a las redes sociales.,"no, prefiero no hacerlo.",0
67,economía,masculino,mas de 31,grado en administración y dirección de empresas,constantemente,constantemente,entre 1 hora y 2 horas,sí,"sí, a menudo pienso en ello.",nunca los apago.,siempre.,la mayoría de las veces.,ocasionalmente.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
68,educación física,masculino,entre 22 y 24,grado en ciencias de la actividad física y el deporte,constantemente,algunas horas al día,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",ocasionalmente.,la mayoría de las veces.,la mayoría de las veces.,ocasionalmente.,no estoy seguro/a.,"sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",subir menos contenido a las redes sociales.,"no, prefiero no hacerlo.",0
69,geografía e historia,masculino,entre 22 y 24,grado en historia,constantemente,algunas horas al día,entre 1 hora y 2 horas,sí,"sí, a menudo pienso en ello.",la mayoría de las veces.,siempre.,nunca.,nunca.,"no, prefiero no hacerlo.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",0
70,matemáticas,femenino,mas de 31,grado en ingeniería química,constantemente,ocasionalmente,menos de 1 hora,sí,"sí, ocasionalmente lo considero.",nunca los apago.,ocasionalmente.,la mayoría de las veces.,nunca.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",mandar menos gif y stickers en las aplicaciones de mensajería.,"sí, definitivamente.",1
71,educación física,masculino,entre 22 y 24,grado en ciencias de la actividad física y el deporte,constantemente,constantemente,más de 3 horas,no,"no, no lo había considerado.",ocasionalmente.,la mayoría de las veces.,siempre.,la mayoría de las veces.,"no, prefiero no hacerlo.","sí, me sorprende.","no, prefiero seguir usándolos.","no, prefiero no hacerlo.",mandar menos gif y stickers en las aplicaciones de mensajería.,"no, prefiero no hacerlo.",0
72,economía,femenino,entre 22 y 24,doble grado derecho y administración y dirección de empresas.,constantemente,constantemente,más de 3 horas,sí,"no, no lo había considerado.",ocasionalmente.,ocasionalmente.,la mayoría de las veces.,ocasionalmente.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",0
73,biología y geología,femenino,entre 22 y 24,grado en biotecnología,algunas horas al día,constantemente,más de 3 horas,sí,"no, no lo había considerado.",ocasionalmente.,ocasionalmente.,la mayoría de las veces.,nunca.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",mandar menos gif y stickers en las aplicaciones de mensajería.,"sí, definitivamente.",0
74,biología y geología,masculino,entre 22 y 24,grado en biología,algunas horas al día,ocasionalmente,entre 1 hora y 2 horas,sí,"no, no lo había considerado.",nunca los apago.,nunca.,la mayoría de las veces.,nunca.,"no, prefiero no hacerlo.","sí, me sorprende.","no, prefiero seguir usándolos.","no, prefiero no hacerlo.",mandar menos gif y stickers en las aplicaciones de mensajería.,"sí, definitivamente.",0
75,economía,femenino,entre 22 y 24,grado en turismo,constantemente,constantemente,más de 3 horas,sí,"sí, ocasionalmente lo considero.",ocasionalmente.,la mayoría de las veces.,la mayoría de las veces.,la mayoría de las veces.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",1
76,educación física,femenino,entre 28 y 30,grado en ciencias de la actividad física y el deporte,constantemente,constantemente,entre 2 horas y 3 horas,no,"sí, ocasionalmente lo considero.",nunca los apago.,ocasionalmente.,la mayoría de las veces.,ocasionalmente.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",0
77,biología y geología,femenino,mas de 31,grado en química,constantemente,constantemente,entre 2 horas y 3 horas,sí,"sí, ocasionalmente lo considero.",la mayoría de las veces.,nunca.,siempre.,siempre.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",1
78,economía,femenino,mas de 31,grado en administración y dirección de empresas,constantemente,algunas horas al día,menos de 1 hora,sí,"no, no lo había considerado.",la mayoría de las veces.,ocasionalmente.,siempre.,ocasionalmente.,"sí, definitivamente.","sí, me sorprende.","no, prefiero seguir usándolos.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",0
79,biología y geología,femenino,entre 25 y 27,grado en bioquímica,constantemente,constantemente,entre 2 horas y 3 horas,sí,"no, no lo había considerado.",la mayoría de las veces.,nunca.,la mayoría de las veces.,nunca.,no estoy seguro/a.,"sí, me sorprende.","no, prefiero seguir usándolos.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",0
80,geografía e historia,masculino,entre 22 y 24,grado en geografía e historia,constantemente,constantemente,más de 3 horas,sí,"sí, ocasionalmente lo considero.",la mayoría de las veces.,ocasionalmente.,ocasionalmente.,ocasionalmente.,"sí, pero me resulta difícil.","sí, me sorprende.","no, prefiero seguir usándolos.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",0
81,tecnología,masculino,entre 28 y 30,grado en ingeniería mecánica,constantemente,constantemente,menos de 1 hora,sí,"sí, ocasionalmente lo considero.",la mayoría de las veces.,nunca.,ocasionalmente.,nunca.,"no, prefiero no hacerlo.","sí, me sorprende.","no, prefiero seguir usándolos.","no, prefiero no hacerlo.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",0
82,educación física,masculino,entre 22 y 24,grado en ciencias de la actividad física y el deporte,constantemente,constantemente,más de 3 horas,sí,"no, no lo había considerado.",nunca los apago.,la mayoría de las veces.,la mayoría de las veces.,siempre.,"sí, pero me resulta difícil.","sí, me sorprende.","no, prefiero seguir usándolos.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",0
83,tecnología,femenino,mas de 31,grado en arquitectura,constantemente,algunas horas al día,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",la mayoría de las veces.,ocasionalmente.,siempre.,siempre.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",mandar menos gif y stickers en las aplicaciones de mensajería.,"sí, definitivamente.",1
84,otra,femenino,entre 22 y 24,grado en traducción e interpretación,constantemente,algunas horas al día,entre 2 horas y 3 horas,no,lo desconocía.,la mayoría de las veces.,la mayoría de las veces.,la mayoría de las veces.,siempre.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",mandar menos gif y stickers en las aplicaciones de mensajería.,"sí, definitivamente.",1
85,tecnología,masculino,mas de 31,grado en ingeniería técnica industrial,constantemente,constantemente,menos de 1 hora,sí,"no, no lo había considerado.",siempre apago mis dispositivos.,nunca.,siempre.,nunca.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",mandar menos gif y stickers en las aplicaciones de mensajería.,"sí, definitivamente.",0
86,otra,otros,mas de 31,ingeniería,ocasionalmente,nunca,menos de 1 hora,sí,"sí, a menudo pienso en ello.",siempre apago mis dispositivos.,siempre.,siempre.,siempre.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
87,dibujo,masculino,mas de 31,grado en bellas artes,algunas horas al día,ocasionalmente,entre 1 hora y 2 horas,sí,"sí, a menudo pienso en ello.",siempre apago mis dispositivos.,siempre.,siempre.,siempre.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
88,geografía e historia,femenino,entre 28 y 30,grado en historia,constantemente,algunas horas al día,entre 1 hora y 2 horas,sí,"no, no lo había considerado.",siempre apago mis dispositivos.,nunca.,ocasionalmente.,nunca.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",0
89,dibujo,femenino,entre 28 y 30,grado en conservación y restauración de bienes culturales,constantemente,constantemente,entre 2 horas y 3 horas,sí,"sí, a menudo pienso en ello.",ocasionalmente.,ocasionalmente.,la mayoría de las veces.,ocasionalmente.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",0
90,matemáticas,masculino,entre 22 y 24,grado en matemáticas,constantemente,algunas horas al día,entre 1 hora y 2 horas,no,"no, no lo había considerado.",ocasionalmente.,nunca.,la mayoría de las veces.,nunca.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",0
91,otra,femenino,entre 25 y 27,grado en estudios ingleses,constantemente,ocasionalmente,menos de 1 hora,sí,"sí, a menudo pienso en ello.",la mayoría de las veces.,ocasionalmente.,nunca.,ocasionalmente.,no estoy seguro/a.,"sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",0
92,geografía e historia,masculino,mas de 31,grado en historia y patrimonio,constantemente,constantemente,más de 3 horas,sí,"no, no lo había considerado.",nunca los apago.,la mayoría de las veces.,la mayoría de las veces.,ocasionalmente.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",0
93,filología hispánica,masculino,entre 22 y 24,doble grado en estudios ingleses y filología hispánica,constantemente,ocasionalmente,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",siempre apago mis dispositivos.,la mayoría de las veces.,siempre.,la mayoría de las veces.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
94,matemáticas,femenino,entre 25 y 27,grado en diseño de interiores,constantemente,constantemente,entre 1 hora y 2 horas,sí,lo desconocía.,la mayoría de las veces.,la mayoría de las veces.,la mayoría de las veces.,la mayoría de las veces.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",1
95,tecnología,masculino,mas de 31,grado en ingeniería de telecomunicaciones,algunas horas al día,ocasionalmente,menos de 1 hora,sí,"sí, ocasionalmente lo considero.",siempre apago mis dispositivos.,la mayoría de las veces.,la mayoría de las veces.,la mayoría de las veces.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",mandar menos gif y stickers en las aplicaciones de mensajería.,"sí, definitivamente.",1
96,matemáticas,femenino,mas de 31,grado en bellas artes,constantemente,algunas horas al día,entre 2 horas y 3 horas,sí,"sí, ocasionalmente lo considero.",la mayoría de las veces.,nunca.,siempre.,siempre.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
97,matemáticas,femenino,entre 25 y 27,grado en diseño de interiores,constantemente,constantemente,entre 1 hora y 2 horas,sí,lo desconocía.,la mayoría de las veces.,la mayoría de las veces.,la mayoría de las veces.,la mayoría de las veces.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",1
98,economía,femenino,mas de 31,grado en administración y dirección de empresas,constantemente,constantemente,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",nunca los apago.,la mayoría de las veces.,la mayoría de las veces.,la mayoría de las veces.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",1
99,tecnología,masculino,mas de 31,grado en bellas artes,constantemente,ocasionalmente,menos de 1 hora,sí,"sí, ocasionalmente lo considero.",siempre apago mis dispositivos.,la mayoría de las veces.,siempre.,siempre.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
100,tecnología,masculino,mas de 31,grado en bellas artes,algunas horas al día,ocasionalmente,menos de 1 hora,sí,"sí, ocasionalmente lo considero.",siempre apago mis dispositivos.,siempre.,siempre.,siempre.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
101,filología hispánica,femenino,entre 25 y 27,doble grado en estudios ingleses y filología hispánica,constantemente,constantemente,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",la mayoría de las veces.,la mayoría de las veces.,siempre.,la mayoría de las veces.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
102,tecnología,femenino,mas de 31,grado en arquitectura,constantemente,algunas horas al día,entre 2 horas y 3 horas,sí,"sí, ocasionalmente lo considero.",la mayoría de las veces.,ocasionalmente.,la mayoría de las veces.,siempre.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",1
103,economía,femenino,mas de 31,grado en arquitectura,constantemente,algunas horas al día,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",la mayoría de las veces.,la mayoría de las veces.,la mayoría de las veces.,siempre.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",1
104,matemáticas,femenino,mas de 31,grado en bellas artes,constantemente,algunas horas al día,entre 2 horas y 3 horas,sí,"sí, ocasionalmente lo considero.",la mayoría de las veces.,nunca.,siempre.,siempre.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
105,tecnología,masculino,mas de 31,grado en bellas artes,constantemente,ocasionalmente,menos de 1 hora,sí,"sí, ocasionalmente lo considero.",siempre apago mis dispositivos.,la mayoría de las veces.,siempre.,siempre.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
106,tecnología,femenino,mas de 31,grado en arquitectura,constantemente,algunas horas al día,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",la mayoría de las veces.,la mayoría de las veces.,la mayoría de las veces.,siempre.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",1
107,matemáticas,femenino,entre 22 y 24,grado en matemáticas,constantemente,constantemente,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",la mayoría de las veces.,la mayoría de las veces.,siempre.,la mayoría de las veces.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
108,economía,femenino,entre 22 y 24,grado en arquitectura,constantemente,constantemente,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",la mayoría de las veces.,la mayoría de las veces.,la mayoría de las veces.,siempre.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",1
109,economía,femenino,mas de 31,grado en arquitectura,constantemente,algunas horas al día,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",la mayoría de las veces.,la mayoría de las veces.,la mayoría de las veces.,siempre.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",1
110,matemáticas,femenino,entre 22 y 24,grado en matemáticas,constantemente,constantemente,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",la mayoría de las veces.,la mayoría de las veces.,siempre.,la mayoría de las veces.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
111,matemáticas,femenino,mas de 31,grado en bellas artes,constantemente,algunas horas al día,entre 2 horas y 3 horas,sí,"sí, ocasionalmente lo considero.",la mayoría de las veces.,nunca.,siempre.,siempre.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
112,economía,masculino,entre 22 y 24,grado en administración y dirección de empresas,constantemente,constantemente,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",siempre apago mis dispositivos.,la mayoría de las veces.,la mayoría de las veces.,la mayoría de las veces.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
113,economía,femenino,entre 22 y 24,grado en administración y dirección de empresas,constantemente,constantemente,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",la mayoría de las veces.,ocasionalmente.,la mayoría de las veces.,la mayoría de las veces.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
114,tecnología,masculino,mas de 31,grado en bellas artes,algunas horas al día,ocasionalmente,menos de 1 hora,sí,"sí, ocasionalmente lo considero.",siempre apago mis dispositivos.,siempre.,siempre.,siempre.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
115,economía,masculino,entre 22 y 24,grado en administración y dirección de empresas,constantemente,constantemente,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",siempre apago mis dispositivos.,la mayoría de las veces.,la mayoría de las veces.,la mayoría de las veces.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
116,filología hispánica,femenino,entre 22 y 24,doble grado en estudios ingleses y filología hispánica,constantemente,constantemente,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",siempre apago mis dispositivos.,la mayoría de las veces.,la mayoría de las veces.,la mayoría de las veces.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
117,matemáticas,femenino,mas de 31,grado en matemáticas,constantemente,algunas horas al día,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",la mayoría de las veces.,la mayoría de las veces.,siempre.,siempre.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
118,economía,femenino,mas de 31,grado en administración y dirección de empresas,constantemente,constantemente,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",nunca los apago.,la mayoría de las veces.,la mayoría de las veces.,la mayoría de las veces.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",1
119,economía,femenino,mas de 31,grado en arquitectura,constantemente,algunas horas al día,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",la mayoría de las veces.,la mayoría de las veces.,la mayoría de las veces.,siempre.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",1
120,tecnología,masculino,mas de 31,grado en bellas artes,algunas horas al día,ocasionalmente,menos de 1 hora,sí,"sí, ocasionalmente lo considero.",siempre apago mis dispositivos.,siempre.,siempre.,siempre.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
121,economía,femenino,mas de 31,grado en arquitectura,constantemente,algunas horas al día,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",la mayoría de las veces.,la mayoría de las veces.,la mayoría de las veces.,siempre.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",1
122,tecnología,femenino,mas de 31,grado en arquitectura,constantemente,algunas horas al día,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",la mayoría de las veces.,nunca.,siempre.,siempre.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",1
123,economía,femenino,mas de 31,grado en administración y dirección de empresas,constantemente,constantemente,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",nunca los apago.,la mayoría de las veces.,la mayoría de las veces.,la mayoría de las veces.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",1
124,tecnología,femenino,mas de 31,grado en arquitectura,constantemente,algunas horas al día,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",la mayoría de las veces.,la mayoría de las veces.,la mayoría de las veces.,siempre.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",1
125,economía,femenino,mas de 31,grado en administración y dirección de empresas,constantemente,constantemente,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",nunca los apago.,la mayoría de las veces.,la mayoría de las veces.,la mayoría de las veces.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",1
126,tecnología,masculino,mas de 31,grado en bellas artes,constantemente,ocasionalmente,menos de 1 hora,sí,"sí, ocasionalmente lo considero.",siempre apago mis dispositivos.,la mayoría de las veces.,siempre.,siempre.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
127,filología hispánica,femenino,entre 25 y 27,doble grado en estudios ingleses y filología hispánica,constantemente,constantemente,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",la mayoría de las veces.,la mayoría de las veces.,siempre.,la mayoría de las veces.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
128,filología hispánica,femenino,entre 22 y 24,doble grado en estudios ingleses y filología hispánica,constantemente,constantemente,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",siempre apago mis dispositivos.,la mayoría de las veces.,la mayoría de las veces.,la mayoría de las veces.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
129,matemáticas,femenino,mas de 31,grado en matemáticas,constantemente,algunas horas al día,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",la mayoría de las veces.,la mayoría de las veces.,siempre.,siempre.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
130,economía,masculino,entre 22 y 24,grado en administración y dirección de empresas,constantemente,constantemente,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",siempre apago mis dispositivos.,la mayoría de las veces.,la mayoría de las veces.,la mayoría de las veces.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
131,tecnología,femenino,mas de 31,grado en arquitectura,constantemente,algunas horas al día,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",la mayoría de las veces.,nunca.,siempre.,siempre.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo viendo vídeos de contenido no prioritario.,"sí, definitivamente.",1
132,filología hispánica,masculino,entre 22 y 24,doble grado en estudios ingleses y filología hispánica,constantemente,ocasionalmente,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",siempre apago mis dispositivos.,la mayoría de las veces.,siempre.,la mayoría de las veces.,"sí, pero me resulta difícil.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
133,matemáticas,femenino,entre 22 y 24,grado en matemáticas,constantemente,constantemente,entre 1 hora y 2 horas,sí,"sí, ocasionalmente lo considero.",la mayoría de las veces.,la mayoría de las veces.,siempre.,la mayoría de las veces.,"sí, definitivamente.","sí, me sorprende.","sí, estoy dispuesto/a.","sí, definitivamente.",pasar menos tiempo en las redes sociales.,"sí, definitivamente.",1
